Data da operação,Tipo da operação,Id da operação,Descrição da operação,Id da transação,Parcela,Método de pagamento,Entrada bruta,Saída bruta,Taxa de operação,Taxa de antecipação,Taxa total da operação,Entrada líquida,Saída líquida
29/06/2022 07:02,Transação,1326279239,-,694224439,1,Cartão de Crédito,"440,80","0,00","-11,08","-3,69","-14,77","426,03","0,00"
27/06/2022 09:11,Transação,1314695677,-,690361076,1,Cartão de Crédito,"264,80","0,00","-6,65","-2,22","-8,87","255,93","0,00"
27/06/2022 09:11,Transação,1310727921,-,688667777,1,Cartão de Crédito,"516,21","0,00","-12,97","-4,32","-17,29","498,92","0,00"
24/06/2022 07:51,Transação,1303017136,-,686013012,1,Cartão de Crédito,"312,70","0,00","-7,86","-2,62","-10,48","302,22","0,00"
24/06/2022 07:50,Transação,1361105868,-,705935754,-,Cartão de Crédito,"0,00","-1.527,70","38,38","12,80","51,18","0,00","-1.476,52"
24/06/2022 07:27,Transação,1360088922,-,705935754,1,Cartão de Crédito,"1.527,70","0,00","-38,38","-12,80","-51,18","1.476,52","0,00"
